company name,company address,company url,specialization,nature of work,country,city
Northern Gateway Alliance,"208 Grand Drive, Orewa, Auckland",,Civil,general,New Zealand,Auckland
Pizza Pizza Ltd,"2 Hastings Road
Mairangi Bay,Auckland",,Mechatronics,subprof,New Zealand,Auckland
Acron Plastics,"13 Woodson Place
Glenfield
Auckland",,Biomedical,general,New Zealand,Auckland
Federal Mogul Shanghai Corportation,"2F Shanghai Trade Centre
800 Quyang Road
Shanghai 200437",,Mechatronics,"general,subprof",China,Shanghai
Dah Fung Service,"1101Eton Tower
8 Hysan Avenue
Causeway Bay,Hongkong",,Mechatronics,"general,subprof",China,Hong Kong
Shanghai Power Equipment Research Institute,"1115 jian Chuan Road
Minhang
Shanghai 200240",,Mechatronics,subprof,China,Shanghai
UNITEC Mt Albert Campus,"Carrington Road
Mt Albert,Auckland",,Mechatronics,general,New Zealand,Auckland
PT Sarana Bahana Mulia,"JI. Jatinegara Timur # 57
Jakarta 13310
Indonesia",,Electrical & Electronic,general,Indonesia,Jakarta
Custom Controls LTD,"16 Mahunga Dr , Mangere Bridge,Auckland",,Biomedical,general,New Zealand,Auckland
Wence Auto Repairs Ltd.,"3/255 Archers Road,
Glenfield,
North Shore,
Auckland",,Chemical & Materials,general,New Zealand,Auckland
Abilities,"32-34 View Road, Glenfield
Wairau Valley
North Shore City 0627",http://www.abilities.co.nz/index.php,Mechatronics,general,New Zealand,Auckland
Technology Investment Network / Klein Medical,"Unit 1/26 Victoria Road,
Devonport,
North Shore City",http://www.tinetwork.co.nz/,Biomedical,"general,subprof",New Zealand,Auckland
Afa Electrical,"The company Does mobile services only so they dont have a company address, only a PO box Address:

PO Box 259 250
Greenmount  2141
Auckland, NZ",http://www.afaelectrical.co.nz/,Software,general,New Zealand,Auckland
Minemakers Limited,"Level 2/34 Colin Street
West Perth 6005
WESTERN AUSTRALIA",http://www.minemakers.com.au,Mechanical,"general,subprof",Austrilia,Perth
Fulton Hogan(Te Rapa Alliance),"Level 1/850 Victoria Street
Hamilton",http://www.fultonhogan.com,Civil,general,New Zealand,Hamilton
BEST OUTLET,"108A Harris Road, East Tamaki, Auckland",http://www.bestoutletnz.com/,Computer System,general,New Zealand,Auckland
Harding Technical Services,"388 Neilson Street
Penrose
PO Box 112-274 
Penrose",http://www.htsgroup.co.nz,Electrical & Electronic,subprof,New Zealand,Auckland
Tower Foundations,"Level 1, 18 St Martins Lane, Grafton, Auckland, 1010",,Civil,"general,subprof",New Zealand,Auckland
Advanced Environmental Technologies Ltd,"9 Michael Foley Place
Auckland 0600",http://www.aetenergysavers.com,Chemical & Materials,general,New Zealand,Auckland
Harcourts Cooper & Co. Browns Bay,"15 Anzac Road
Browns Bay
North Shore",http://www.harcourts.co.nz,Software,general,New Zealand,Auckland
Rocket Lab Ltd.,"24 Balfour Road
Parnell
Auckland",http://rocketlab.co.nz,Software,"general,subprof",New Zealand,Auckland
Carter Holt Harvey - Penrose recycle paper mill,"33 Hugo Johnston Drive 
Southdown 
Auckland City 
Auckland 1061 
Private Bag 92808
Penrose
Penrose 1642",http://www.chhpulpandpaper.com/Pages/home.aspx,Chemical & Materials,subprof,New Zealand,Auckland
Brown and Thomson Consulting Engineers,"582 Karangahape Road, Newton",,Civil,subprof,New Zealand,Auckland
Electronic Navigation Ltd,65 Gaunt St.,,"Computer System,Mechatronics","general,subprof",New Zealand,Auckland
KVA,"Level 1, P.A.M. Complex, Tamaligi
P. O. Box L 6579 
Apia, Samoa",http://www.kvaconsult.com/,Civil,subprof,Samoa,Apia
JUST SWITCHBOARDS Ltd,"10 Omega Street
Rosedale
Auckland 0632
New Zealand",,Electrical & Electronic,"general,subprof",New Zealand,Auckland
Qiming Information Technology Co. Ltd,"2489 Dong Feng St.
ChangChun
JiLin Province
China",http://www.faw-qm.com.cn/,Mechanical,subprof,China,Changchun
Airpro Mechanical Ltd,"Airpro Mechanical Ltd,
4 Winston Place, 
Henderson, Auckland,
New Zealand",http://www.airpro.co.nz/,Mechanical,subprof,New Zealand,Auckland
Marine Industrial Design,"46A Lake road
Northcote
Auckland
PO Box 36525",http://www.marinedesign.co.nz,Mechanical,subprof,New Zealand,Auckland
Nautech Electronics Ltd.,"120 Cryers Road
East Tamaki Manukau City
Auckland 2013",http://www.nautech.com,Software,"general,subprof",New Zealand,Auckland
Business Process Management Office (BPMO),"Level 9, 49 Symonds Street
Auckland 
New Zealand",,Software,general,New Zealand,Auckland
AMES,"500 Queen St, Auckland, NZ",http://www.ames.ac.nz,Software,general,New Zealand,Auckland
Allendale Electrical and Communications Limited,"23-25 Edinburgh St,
Newton,
Auckland City",http://www.allendale-electrical.co.nz/,Mechatronics,"general,subprof",New Zealand,Auckland
University of Auckland-Faculty of Engineering,"Faculty of Engineering, 20 Symonds Street, Auckland",http://www.cee.auckland.ac.nz/uoa/,Electrical & Electronic,general,New Zealand,Auckland
Securimax Limited,"15 Echelon Place, East Tamaki, Auckland 2013
PO Box 14 347 Panmure,
Auckland 1741, New Zealand",,Biomedical,general,New Zealand,Auckland
Jimmy Building Services Ltd,"10 Pistachio Place
Goodwood Heights
Manukau
Auckland",,Civil,general,New Zealand,Auckland
Tasman Network Solutions,"60, Greenpark Road, Penrose",,Computer System,subprof,New Zealand,Auckland
Lion Panel and Paint,"5D Rabone Street
Henderson
Auckland",http://www.nowebsitegiven.com,Civil,general,New Zealand,
KTC Holdings Ltd,"223 Golf Road 
Titirangi 
Auckland",,Civil,general,New Zealand,
PB Technologies Limited,"59 Lake Road
Hamilton",http://www.pbtech.co.nz,Mechatronics,general,New Zealand,
Holmes Fire and safety,39 Market Place,http://www.holmesfire.com/,Civil,subprof,New Zealand,Auckland
Beca - Wellington,"Aorangi House
85 Molesworth Street
Wellington",http://www.beca.com,Mechanical,"general,subprof",New Zealand,
Guangdong Zhongyu Technology Co Ltd,"Zhongpingshan Industrial Park
Guangzhou
Guangdong
China",http://www.zhong-yu.com.cn,Mechatronics,"general,subprof",China,
Horizon Energy Services Ltd,"4273 Mountain Road
SH3 Ngaere",http://www.horizonenergy.co.nz,Chemical & Materials,"general,subprof",New Zealand,
Yacht Research Unit,"University of Auckland Wind Tunnel
3 Hamnigan Drive
Mt Wellington
Private Bag 92019
Auckland",http://www.auckland.ac.nz,Mechanical,"general,subprof",New Zealand,
Dewan Al Smara Architects and Engineers,"Al Wasl Road
Alsafa
Dubai
UAE
PO Box 60990
Dubai 
United Arab Emirates",http://www.dewan-architects.com,Civil,"general,subprof",United Arab Emirates,
Ktech Ltd,"1160a NEW NORTH ROAD
MT ALBERT
AK",http://www.impc.co.nz,Software,general,New Zealand,
Katrinka,POBox 6322 Wellesley St Auckland 1141 New Zealand,,Software,"general,subprof",New Zealand,Auckland
Shen Zhen XTRD Electronics,"3012 Huaqiang North Road
futian
Shenzhen",,Electrical and Computing,"general,subprof",China,
Vibro (H.K.) Limited,"4/F, 38 Sheung On Street,
Chai Wan,
Hong Kong",http://www.vibro.com.hk,Civil,subprof,China,Hong Kong
KAM SYSTEM. Inc.,"2Fl. Newkorea B/D, 1364-28, Seocho-Dong, Seocho-Gu",http://www.kamsys.co.kr,Mechatronics,subprof,South Korea,Seoul
Sama-Ech LLC,"Building 6 - 8thFloor
Burj Dusai Square
Dubai
UAE
PO Box 23027
Dubai
UAE",http://www.nowebsitegiven.com,Civil,subprof,United Arab Emirates,
Maing Chau Enterprise Co Ltd,"7 Hsing Long Road
Dalin Li
Taoyuan City 330
Taiwan",http://www.allproducts.com,Enginee,general,Taiwan,
WorldxChange Communications,"Level 9
55-65 Shortland Street
Auckland 1010",http://www.wxc.co.nz,Software,"general,subprof",New Zealand,Auckland
AQUATX LTD,"AQUATX WATERSPORTS
77c Carbine Road
Mt Wellington
Auckland",http://www.aquatx.co.nz/home.html,Civil,general,New Zealand,Auckland
Hynds Environmental,"Hynds Environmental Systems Limited
Level 1, 669 Great South Road
Penrose, Auckland
New Zealand",http://www.hyndsenv.co.nz/Default.aspx,Civil,"general,subprof",New Zealand,Auckland
Wilton Joubert ltd,"Unit Q, 20 Cain Rd
Penrose
Auckland
New Zealand",http://www.wiltonjoubert.co.nz/,Civil,subprof,New Zealand,Auckland
Valley Civil Survey Ltd,P.O. Box 252 or 20 Wood St,http://www.valleycivilsurvey.com,Civil,"general,subprof",New Zealand,Paeroa
Technical Concepts Ltd,"559 Marshmans Road, Ashley RD2,
Rangiora",,Software,subprof,New Zealand,Rangiora
ProjectMax Ltd,Unit K 75 Porana Rd Glenfield,http://www.projectmax.co.nz/home.htm,Civil,"general,subprof",New Zealand,Auckland
B.W. Murdoch Ltd.,"Head Office:
Auckland
5 Eden Street, Newmarket

and:
137 Spring St
Tauranga",http://murdoch.co.nz/,Chemical & Materials,"general,subprof",New Zealand,Tauranga
Tonkin & Taylor Ltd,"105 Carlton Gore Road
Newmarket
Auckland",,Civil,"general,subprof",New Zealand,Auckland
Galantai Plastics,"11 Bancroft Crescent
Glendene
Waitakere
0602",http://www.gplastics.co.nz,Chemical & Materials,general,New Zealand,Auckland
Rocket Lab Ltd,"Balfour Road, Parnell, Auckland",,"Mechanical,General,Mechatronics",subprof,New Zealand,Auckland
Candor3,"590 Great South Road
Ellerslie",,"Civil,Civil","general,subprof",New Zealand,Auckland
Etherton Enterprises Ltd,"50 Aberdeen Road
Castor Bay
Auckland",,Civil,general,New Zealand,Auckland
Hawk Packaging,"1307 Tamoana Rd, Hastings 4120",http://www.hawkpak.co.nz/,"Mechanical,General",subprof,New Zealand,Hastings
McConnell Dowell Constructors Limited,"PO Box 2759
Shortland street,Auckland",,"Civil,General","general,subprof",New Zealand,Auckland
MB Century,"166 Karetoto Road,Taupo",,"Engineering Science,Mechanical,Civil","general,subprof",New Zealand,Taupo
Petronas Carigali SDN. BHD - Peninsular Malaysia Operations,"Petronas Operation Complex
24300 Kertech
Kemaman",http://pww.pmo.petronas.com.my,"Mechanical,Chemical & Materials","general,subprof",Malaysia,Terengganu
Haigh Workman,"310 Kerikeri Rd
Kerikeri 0230",http://www.haighworks.co.nz,"Civil,Engineering Science","general,subprof",New Zealand,Kerikeri
Fujian Longyan Golden Brick Ltd,"68 Gone Ye West Road
Longyan
Fujian
China",http://fzjzjx.com,Computer System,general,China,Fujian
West Point Motors,"357 West Coast Road
Glen Eden",,Mechanical,general,New Zealand,Auckland
Marine Instruments Ltd,"138 Hugo Johnston Drive
Penrose
Auckland
New Zealand",http://www.marineinstruments.co.nz/,Mechatronics,"general,subprof",New Zealand,Auckland
Algorithmz Ltd.,"10 Bertrand Road
Mt Wellington",http://www.algorithmz.co.nz,Electrical & Electronic,subprof,New Zealand,Auckland
Landscape Auto,"919 Dominion Road,
Mount Roskill,
Auckland
1041",,Electrical & Electronic,general,New Zealand,Auckland
"Yantai Qinyuanchun Biotechnology CO.,LTD","1 Tongyang Road,Zhifu",https://www.ytqyc.com,Chemical & Materials,general,China,Yantai
greentown china holdings limited-Shaoxing branch,No.1 Yangming Road,http://www.chinagreentown.com,Civil,"general,subprof",China,Shaoxing
Zhejiang Longshan Architectural Design Advisory co.Ltd,"No3, block8, Jinxiu Garden, Baiguan County, Zhejiang, China",,Civil,general,China,Zhejiang
John Andrew - Sales Services and Parts,"34 Paramount Drive, Henderson",http://www.johnandrew.co.nz/,Mechanical,general,New Zealand,Auckland
Shining Galaxy LTD,"37A The Ave
Albany",,Civil,general,New Zealand,Auckland
Realcold Industrial Refrigeration Engineering Co Ltd,"8 PENROSE RD, PENROSE
AUCKLAND 1061, NEW ZEALAND",http://www.realcold.com/,Electrical & Electronic,subprof,New Zealand,Auckland
NZ Longevity Foundation Ltd,"1/18 Ashfield Road, Glenfield",http://www.nzlf.co.nz,Chemical & Materials,subprof,New Zealand,Auckland
Gillespie Consultants Ltd,6 Henderson Valley Rd,,Civil,subprof,New Zealand,Auckland
PT Denso Indonesia,"JI. Kalimantan Blok E1-2
Kawasan Industry MM2100
Cikarang Barat
Bekasi 17520
Jawa Barat (West Java)
Indonesia",http://www.denso.co.id,Mechatronics,"general,subprof",Indonesia,
Inspection Technical Center of Zhuhai Entry-Exit Inspection & Quaratine Burea of P.R. China,"C.I.Q Building 1144 Jinzhou Rd. Zhuhai, Guangdong, P.R.China",http://www.zhtech.cn,Biomedical,general,China,Zhuhai
Guangzhou Sunshine Science Instrument Co. Ltd,"Room 315, Yunhui Building, Yunjing Huayuan, Guangzhou Dadao Bei, Guangzhou, P.R. China",,Biomedical,subprof,China,"Guangdong, Guangzhou"
Percy Motors,"1 Brisbane Street, Grey Lynn, Auckland",http://www.percymotors.co.nz/,Engineering Science,general,New Zealand,Auckland
Fu-Tsu Construction Ltd.,"15F, No.27, Sec1, Zhongshan N. Rd, Zhongzheng Dist, Taipei, ROC.",http://www.futsu.com.tw,Civil,subprof,Taiwan,Taipei
Calvin's Info Service Company,"No.8, Lane 2, 51th Alley, Zhi-Chiang New Road",,Civil,general,Taiwan,Yilan
Renew Auto Collision Repair Centre,"7 Turin Place, East Tamaki",,Mechanical,general,New Zealand,Auckland
Planet Cycles,"216 Dominion Road,
Mt Eden,
Auckland",http://www.planetcycles.co.nz/,Mechanical,general,New Zealand,Auckland
T n S Construction,"49 Roland Rd
Greenhithe
Auckland 
New Zealand",,Civil,general,New Zealand,Auckland
Hua Hui Engineering Design Ltd,"28B-Unit A-No 168 Bai Zhang East Road,
Ning Bo City, Zhe Jiang Province, China",,Civil,"general,subprof",China,Ning Bo City
Custard Square Ltd,"2 Wagner Place, St. Lukes, Auckland
P.O Box 41033 St. Lukes, Auckland",http://www.dinosawus.com,Software,subprof,New Zealand,Auckland
McEntee Hire,"16, Tawa Drive, Albany",http://www.mcenteehire.co.nz,Civil,general,New Zealand,North Shore
High Modulus,"32 Canaveral Drive, Albany",http://www.highmodulus.co.nz,Mechanical,"general,subprof",New Zealand,Auckland
MicroLab Precision Technology CO. LTD,No 8 Lane 296 Pengyi Rd Taiping City Taichung Taiwan,http://www.spnd.com.tw,Engineering Science,general,Taiwan,Taichung
ER  Constructions,"2 Nicholls Ave 
Petone
Wellington",,Civil,general,New Zealand,Petone
Digitata Limited,"65 Karepiro Drive
Stanmore Bay
Whangaparaoa
Auckland",http://digitata.com,Mechatronics,subprof,New Zealand,Auckland
PC House Private Limited,"18, Cocowatta road
Badulla
Sri Lanka",,Electrical & Electronic,general,Sri Lanka,Badulla
Waitakere City Councel,"6 Henderson Valley Road
Henderson 0612",http://www.waitakere.govt.nz/,Civil,general,New Zealand,Auckland
harrison grierson,"Level 1, Dilworth House
71 Great South Road
Newmarket
AUCKLAND 1051",http://www.harrisongrierson.com/,"Mechanical,Civil","general,subprof",New Zealand,Auckland
Real Alarm Limited,"89D Springs Road, East Tamaki, Auckland, New Zealand",,Civil,general,New Zealand,Auckland
Technical Concepts Limited,"Technical Concepts Ltd
South Island Manager FESTO NZ.
559 Marshmans Road, Ashley RD2,
Rangiora",,Software,subprof,New Zealand,Rangiora
Bond & Bond,"128 Queen Street,
Auckland Central,
Auckland,
1010",http://www.bondandbond.co.nz,Biomedical,general,New Zealand,Auckland
Woodrow Wilson International Center for Scholars,"Woodrow Wilson International Center for Scholars
Ronald Reagan Building and International Trade Center
One Woodrow Wilson Plaza
1300 Pennsylvania Ave., NW
Washington, DC 20004-3027
U.S.A",http://wilsoncenter.org/,Chemical & Materials,"general,subprof",United States,Washington DC
Law In Order,"L5, 90 Symonds Street, Auckland",,Software,general,New Zealand,Auckland
System Controls Limited,"505 Rosebank Road, Te Atatu",http://www.systemcontrols.co.nz,"Software,Mechanical",subprof,New Zealand,Auckland
Sun Power Construction Pty Ltd,"19A Valley Road
NSW 2122
Australia",http://www.nowebsite.com,Civil,"general,subprof",Australia,
ADT Securtiy,"Building 1 Central Business Park
666 Great South Road
Penrose.
POBox 2439 Shortland Street
Auckland 1140",http://www.adtsecurity.co.nz,Civil,general,New Zealand,
Sungil Construction Inc,"Head Office
419-1 Dogok-dong
Gangnam-Gu
Seoul
South Korea",http://www.singilcon.co.kr,Civil,"general,subprof",South Korea,
Design Production,"5 Burrett Avenue
Penrose",http://www.designproduction.co.nz,"Mechatronics,Mechanical",general,New Zealand,Auckland
Apex Engineering Services Ltd,"131 Portage Rd
Otahuhu
Auckland
1062",http://www.apexeng.co.nz/,"Mechanical,Chemical & Materials",general,New Zealand,Auckland
Temperzone Ltd,"38 Tidal Road,
Mangere South, 
Manukau 2022 NZ",http://www.temperzone.co.nz/,"Electrical & Electronic,Chemical & Materials,Mechanical",general,New Zealand,Auckland
Concrete Structures,"143 riri street, rotorua",http://www.concretestructures.co.nz,"Mechanical,Chemical & Materials",general,New Zealand,rotorua
Canadian Pacific Ltd,"26 Birmingham Road
East Tamaki
Auckland
PIO Box 259195
Botany
Manukau",http://www.nowebsite.com,Civil,"general,subprof",New Zealand,Auckland
Festo NZ,"Festo Limited Head Office Auckland
20 Fisher Crescent
MT. Wellington
Auckland",http://www.festo.co.nz/,Software,general,New Zealand,Auckland
Zhejiang Yingtu construction Company,"3-4 Juashan Road
baiguan
Shangyu
Zhejuand
China",http://www.nowebsite.com,Civil,general,China,
Putra Perdana Construction Sdn Bhd,"2nd&3rd Floor No 5
Palan P16 62150
Putrajaya",http://www.p-perdana.com.com,Civil,general,Malaysia,
Guangzhou Jingsen Architectural & Engineering Consultants,"Haibin Dadao Nan No. 40
Jin Hao garden No 402
Xia Shan
Zhanjiang",http://www.jingsen.cn,Civil,subprof,China,
MAE Enterprise,"27 Longwood Place
Forrest Hill
North Shore City 0620
Auckland",http://www.nowebsite.com,Civil,general,New Zealand,
Stephenson Laboratory,"Cnr of Fitzgerald and Quarry Roads
Dury
PO Box 15 
Dury 2247",http://www.stevenson.co.nz,Civil,subprof,New Zealand,
New Bright Development Ltd,"Unit C 331 East Tamaki Road
East Tamaki
Auckland
New Zealand",http://newbright.co.nz/,Civil,"general,subprof",New Zealand,
Jinan hengcheng Construction Company,"5 Si Street
Liungzhuing
Jinan\\
Shandong
China",http://www.nowebaddress.com,Civil,"general,subprof",China,
Mott MacDonald Hong Kong Ltd,"7/F West Wing Office
New World Centre
20 Salisbury Road
Tsim Sha Tsui
Kowloon
Hong Kong",http://www.mottmac.com.hk,Civil,subprof,Hong Kong,
Doric Constructions,"11 Nixon Street
Ponsonby
PO Box 56631
Dominion Road
Auckland",http://www.doricconstructions.co.nz,Civil,"general,subprof",New Zealand,
Down to Earth Systems,"90 Landscape Road
Three Kings
Auckland
PO box 64321 
Botany
Manukau 2163",http://www.downtoearthsystems.com,Civil,"general,subprof",New Zealand,
Nanjing Gaochun Hongda Construction Engineering Co Ltd,"31 Chundong road
ChunXi
Nanjing
China",http://www.nowebsitegiven.com,Civil,"general,subprof",China,
Korea Water Resources Corporation,"560 Sintanjin RoDeduck Gu Daejin Kwangyuk Si
Korea",http://www.kwater.or.kr,Civil,"general,subprof",Korea,
Auto Spark,"294-8 bungi
Hyo Sung Dong
gye yang Gu
Incheon Si
Korea",http://www.autospark.kr,Civil,general,Korea,
Fiki Construction & Design Co,"Ave. Sidonio Pais
57/C R/C
Macau
China",http://www.nowebsitegiven.com,Civil,"general,subprof",China,
Marc Meder (Builder),"75 Namata Road
One Tree Hill
Auckland",http://www.nowebsitegiven.com,Civil,general,New Zealand,
Godco Vacuums Ltd,"182-196 Manakau Road 
Pukekohe",http://www.nowebsitegiven.com,Civil,"general,subprof",New Zealand,
LATHAM CONSTRUCTION,"92 Kerwyn Ave, East Tamaki, Auckland",,Chemical & Materials,general,New Zealand,
DSM Engineering Consultants,"Pesega
Tavita Chang Ting Bldg
Samoa
PO Box 2199
Apia
Samoa",http://www.osmconsults.com,Civil,general,Samoa,
Khatib & Alami Consolidated Engineering Company,"King Faisal Road
Al-Faisal Building 2
Sarjah
United Arab Emirates
PO Box 668",http://www.khatibalami.com,Civil,subprof,United Arab Emirates,
Beifang Investigation - Design & Research Co Ltd,"60 Dongting Road
Hexi District
Tianjin
China",http://www.tidi.ac.cn,Civil,subprof,China,
Sunjin Engineering &Architect,"Sunjin Building 43-3
Yangpyeong-dong 2-ga
Yeongdeungpo-gu
Seoul 
South Korea",http://www.sunjin.co.kr,Civil,"general,subprof",South Korea,
